,fname,lname,nname,height,weight,reach,stance,win,lose,draw
1751,Steve,Kozola,,--,155 lbs.,--,,8,0,0
1752,Derrick,Krantz,D-Rock,"5' 10""",170 lbs.,"72.0""",Orthodox,22,12,0
1753,James,Krause,The,"6' 2""",170 lbs.,"73.0""",Orthodox,28,9,0
1754,Pascal,Krauss,Panzer,"6' 1""",170 lbs.,--,Orthodox,11,2,0
1755,Rene,Kronvold,,"5' 8""",170 lbs.,--,Orthodox,5,1,0
1756,Jorgen,Kruth,The Last Viking,"6' 2""",205 lbs.,--,,5,0,0
1757,Nikita,Krylov,The Miner,"6' 3""",205 lbs.,"77.0""",Orthodox,27,8,0
1758,Mariusz,Ksiazkiewicz,The Iron Pol,"6' 3""",185 lbs.,"75.0""",Southpaw,8,1,0
1759,Junya,Kudo,,--,135 lbs.,--,Orthodox,10,7,2
1760,John,Kuhner,,--,170 lbs.,--,,1,2,0
1761,Michael,Kuiper,,"6' 0""",185 lbs.,"73.0""",Orthodox,15,5,0
1762,Anton,Kuivanen,,"5' 8""",155 lbs.,"72.0""",Orthodox,24,10,0
1763,Maiju,Kujala,,--,135 lbs.,--,,6,3,0
1764,Aleksei,Kunchenko,,"5' 8""",170 lbs.,"70.0""",Orthodox,20,2,0
1765,Rizvan,Kuniev,,"6' 4""",240 lbs.,"76.0""",Orthodox,11,2,1
1766,Keigo,Kunihara,,"6' 0""",235 lbs.,--,Orthodox,3,2,0
1767,Kiichi,Kunimoto,Strasser,"5' 10""",170 lbs.,"71.0""",Orthodox,18,7,2
1768,Yana,Kunitskaya,,"5' 6""",135 lbs.,"68.0""",Orthodox,14,6,0
1769,Leo,Kuntz,The Lion,"5' 10""",155 lbs.,--,Orthodox,18,4,1
1770,Korey,Kuppe,,"6' 5""",170 lbs.,"77.0""",Switch,8,4,0
1771,Ramazan,Kuramagomedov,,"6' 1""",170 lbs.,"73.0""",Orthodox,8,0,0
1772,Tsuyoshi,Kurihara,,"5' 10""",185 lbs.,--,Orthodox,10,8,2
1773,Eldari,Kurtanidze,,"5' 6""",235 lbs.,--,Orthodox,0,1,0
1774,Kyle,Kurtz,,--,170 lbs.,--,,7,5,0
1775,Guram,Kutateladze,Georgian Viking,"5' 11""",155 lbs.,"72.0""",Orthodox,12,2,0
1776,Lina,Kvokov,,"5' 9""",135 lbs.,--,Orthodox,0,3,0
1777,Kaleo,Kwan,Leo Boy,"5' 7""",155 lbs.,--,,11,16,0
1778,Jarrod,Kwitty,,"5' 8""",185 lbs.,--,,2,2,0
1779,Mike,Kyle,MAK,"6' 4""",205 lbs.,"77.0""",Orthodox,22,14,1
1780,Achmed,Labasanov,,"6' 3""",215 lbs.,--,Orthodox,7,4,0
1781,Josh,LaBerge,,"5' 10""",145 lbs.,--,,11,6,0
1782,Jeremiah,Labiano,The Kid,"5' 10""",135 lbs.,--,,11,5,0
1783,Kemran,Lachinov,,--,170 lbs.,--,,3,2,0
1784,Aspen,Ladd,,"5' 6""",145 lbs.,"66.0""",Orthodox,9,2,0
1785,Ryan,LaFlare,,"6' 1""",170 lbs.,"74.0""",Southpaw,14,3,0
1786,Ben,Lagman,Bad News,"6' 2""",185 lbs.,--,,6,5,0
1787,Noad,Lahat,Neo,"5' 9""",145 lbs.,"69.0""",Orthodox,11,2,0
1788,Tina,Lahdemaki,Jelly Bean,"5' 2""",115 lbs.,--,Orthodox,5,1,0
1789,Yohan,Lainesse,White Lion,"6' 1""",170 lbs.,"76.0""",Orthodox,8,0,0
1790,Tim,Lajcik,The Bohemian,"6' 1""",225 lbs.,--,Orthodox,7,6,1
1791,Todd,Lally,,"5' 7""",145 lbs.,--,Orthodox,2,1,0
1792,Sean,Lally,The Unpredictable One,"6' 0""",170 lbs.,--,Orthodox,7,3,0
1793,Ricardo,Lamas,The Bully,"5' 8""",145 lbs.,"71.0""",Orthodox,20,8,0
1794,Jason,Lambert,The Punisher,"6' 3""",185 lbs.,"75.0""",Orthodox,26,13,0
1795,Jose,Landi-Jons,Pele,"5' 11""",170 lbs.,--,Orthodox,29,16,0
1796,Nate,Landwehr,The Train,"5' 9""",145 lbs.,"72.0""",Orthodox,15,4,0
1797,Austen,Lane,,"6' 6""",245 lbs.,--,Orthodox,2,1,0
1798,Aaron,Lanfranco,,--,155 lbs.,--,,5,1,0
1799,Jeremy,Lang,,"5' 11""",205 lbs.,--,Southpaw,21,2,0
1800,Lionel,Lanham,,--,205 lbs.,--,,5,1,0
1801,Lina,Lansberg,Elbow Queen,"5' 7""",135 lbs.,"65.0""",Orthodox,10,5,0
1802,Taylor,Lapilus,Double Impact,"5' 6""",135 lbs.,"73.0""",Southpaw,11,2,0
1803,Chad,Laprise,The Disciple,"5' 10""",170 lbs.,"71.0""",Orthodox,13,4,0
1804,Anthony,Lapsley,The Recipe,"5' 9""",170 lbs.,--,Southpaw,23,7,0
1805,TJ,Laramie,,"5' 6""",145 lbs.,"66.0""",Orthodox,12,4,0
1806,Icho,Larenas,,"6' 3""",235 lbs.,--,Orthodox,6,5,0
1807,Lorenz,Larkin,The Monsoon,"5' 11""",170 lbs.,"72.0""",Orthodox,18,6,0
1808,Jeremy,Larsen,,"5' 10""",145 lbs.,"70.0""",Orthodox,8,5,0
1809,Brock,Larson,,"5' 11""",170 lbs.,"71.0""",Southpaw,42,10,0
1810,Ryan,Larson,,--,170 lbs.,--,,6,2,0
1811,Bobby,Lashley,,"6' 3""",255 lbs.,"78.0""",Orthodox,15,2,0
1812,Ilir,Latifi,The Sledgehammer,"5' 10""",230 lbs.,"73.0""",Orthodox,16,8,0
1813,Sione,Latu,,"6' 0""",215 lbs.,--,,1,0,0
1814,Jenel,Lausa,,"5' 5""",125 lbs.,"68.0""",Orthodox,7,5,0
1815,Joe,Lauzon,,"5' 10""",155 lbs.,"71.0""",Orthodox,28,16,0
1816,Dan,Lauzon,The Upgrade,"5' 10""",155 lbs.,--,Orthodox,17,6,0
1817,Chatt,Lavender,,"5' 8""",170 lbs.,--,,9,7,0
1818,Muhammed,Lawal,King Mo,"6' 0""",205 lbs.,"78.0""",Southpaw,21,6,0
1819,Robbie,Lawler,Ruthless,"5' 11""",170 lbs.,"74.0""",Southpaw,29,15,0
1820,Tom,Lawlor,Filthy,"6' 0""",205 lbs.,"74.0""",Southpaw,10,6,0
1821,Justin,Lawrence,The American Kidd,"5' 8""",145 lbs.,"67.0""",Orthodox,10,4,0
1822,Lance,Lawrence,,"6' 1""",145 lbs.,"74.0""",Orthodox,4,1,0
1823,Ronnie,Lawrence,The Heat,"5' 8""",135 lbs.,"68.0""",Switch,7,1,0
1824,Eric,Lawson,,"6' 0""",185 lbs.,--,Orthodox,9,5,0
1825,Valmir,Lazaro,Bidu,"6' 0""",155 lbs.,"73.0""",Orthodox,15,5,0
1826,Zviad,Lazishvili,,"5' 6""",135 lbs.,"69.0""",Orthodox,13,1,0
1827,Mounir,Lazzez,The Sniper,"6' 1""",170 lbs.,"76.0""",Orthodox,10,2,0
1828,Cung,Le,,"5' 9""",185 lbs.,"70.0""",Southpaw,9,3,0
1829,Thanh,Le,,"5' 9""",145 lbs.,"74.0""",Orthodox,6,1,0
1830,Jordan,Leavitt,The Monkey King,"5' 9""",155 lbs.,"71.0""",Southpaw,9,1,0
1831,Jerome,LeBanner,,"6' 3""",265 lbs.,--,Southpaw,3,2,0
1832,Chris,Leben,The Crippler,"5' 11""",185 lbs.,"73.0""",Southpaw,22,11,0
1833,Mickael,Lebout,Ragnar,"5' 11""",155 lbs.,"73.0""",Orthodox,16,7,1
1834,Stephen,Ledbetter,,"5' 9""",145 lbs.,--,Orthodox,8,3,0
1835,Justin,Ledet,El Blanco,"6' 4""",205 lbs.,"80.0""",Orthodox,9,4,0
1836,James,Lee,,"5' 11""",205 lbs.,--,Southpaw,15,3,0
1837,David,Lee,,"5' 10""",155 lbs.,--,Orthodox,12,10,0
1838,Jackie,Lee,,--,--,--,,0,1,0
1839,Eun Soo,Lee,,"6' 1""",215 lbs.,--,Orthodox,17,4,0
1840,Tae Hyun,Lee,,"6' 6""",295 lbs.,--,Orthodox,1,2,0
1841,Tommy,Lee,,"5' 7""",145 lbs.,--,Orthodox,25,6,0
1842,Matt,Lee,,"5' 11""",155 lbs.,--,Orthodox,14,10,1
1843,Imani,Lee,,--,--,--,Orthodox,2,4,0
1844,Vaughan,Lee,,"5' 6""",125 lbs.,"66.0""",Orthodox,14,13,1
1845,Kevin,Lee,The Motown Phenom,"5' 9""",170 lbs.,"77.0""",Orthodox,18,7,0
1846,Rocky,Lee,,"5' 9""",145 lbs.,--,Orthodox,3,2,0
1847,Andrea,Lee,KGB,"5' 6""",125 lbs.,"69.0""",Orthodox,13,5,0
1848,Ricky,Legere Jr.,IE Bad Boy,"5' 8""",170 lbs.,--,,14,4,0
1849,Sherron,Leggett,Rob Roy,"5' 8""",155 lbs.,--,Southpaw,21,6,0
1850,Cheyden,Leialoha,Steadfast,"5' 8""",135 lbs.,"73.0""",Orthodox,6,0,0
1851,Thales,Leites,,"6' 1""",185 lbs.,"78.0""",Orthodox,28,9,0
1852,Stefan,Leko,Blitz,"6' 2""",215 lbs.,--,Orthodox,0,3,0
1853,Gabe,Lemley,,"5' 8""",155 lbs.,--,Orthodox,13,9,0
1854,Amanda,Lemos,,"5' 4""",115 lbs.,"65.0""",Southpaw,11,1,1
1855,Giacomo,Lemos,,"6' 3""",247 lbs.,"75.0""",Orthodox,6,0,0
1856,Christophe,Leninger,,"6' 0""",200 lbs.,--,Southpaw,3,4,0
1857,Jesse,Lennox,The Ox,"5' 9""",170 lbs.,"72.0""",Orthodox,14,4,0
1858,Jean Francois,Lenogue,,"6' 0""",185 lbs.,--,Orthodox,16,17,3
1859,Nik,Lentz,The Carny,"5' 8""",145 lbs.,"68.0""",Orthodox,30,12,2
1860,Alberta Cerra,Leon,,"5' 8""",238 lbs.,--,,0,1,0
1861,Victoria,Leonardo,Fury,"5' 5""",125 lbs.,"64.0""",Orthodox,8,5,0
1862,Anthony,Leone,,"5' 6""",135 lbs.,--,Orthodox,15,8,0
1863,Chad,Leonhardt,The Boss,"6' 0""",170 lbs.,--,,9,4,0
1864,Kimo,Leopoldo,,"6' 3""",235 lbs.,--,Orthodox,10,7,1
1865,Michael,Lerma,,--,--,--,,0,1,0
1866,Lukasz,Les,,--,170 lbs.,--,,8,3,0
1867,Brock,Lesnar,,"6' 3""",265 lbs.,"81.0""",Orthodox,5,3,0
1868,Frank,Lester,,"5' 11""",170 lbs.,--,Orthodox,11,6,0
1869,Valerie,Letourneau,Trouble,"5' 7""",115 lbs.,"68.0""",Orthodox,8,6,0
1870,Leah,Letson,Nidas,"5' 7""",145 lbs.,"71.0""",,5,3,0
1871,Justin,Levens,The Executioner,"5' 11""",185 lbs.,--,Orthodox,10,7,0
1872,Marcus,LeVesseur,The Prospect,"5' 9""",155 lbs.,"70.0""",Southpaw,22,7,0
1873,David,Levicki,,"6' 5""",275 lbs.,--,,1,3,0
1874,Kyle,Levinton,,--,--,--,,0,3,0
1875,Natan,Levy,,"5' 9""",155 lbs.,"71.0""",Southpaw,6,1,0
1876,John,Lewis,,"6' 0""",155 lbs.,--,Southpaw,3,4,3
1877,Derrick,Lewis,The Black Beast,"6' 3""",260 lbs.,"79.0""",Orthodox,26,8,0
1878,Bevon,Lewis,,"6' 3""",185 lbs.,"79.0""",Orthodox,7,3,0
1879,Brandon,Lewis,,"5' 4""",135 lbs.,"65.0""",Orthodox,5,1,0
1880,Chi,Lewis-Parry,Chopper,"6' 9""",243 lbs.,--,,7,0,1
1881,Li,Jingliang,The Leech,"6' 0""",170 lbs.,"71.0""",Orthodox,18,7,0
1882,Jess,Liaudin,The Joker,"5' 9""",170 lbs.,"72.0""",Orthodox,20,11,0
1883,Chuck,Liddell,The Iceman,"6' 2""",205 lbs.,"76.0""",Orthodox,21,8,0
1884,Sam,Liera,,--,--,--,,12,10,0
1885,Zach,Light,,"5' 8""",170 lbs.,--,Orthodox,9,11,0
1886,Scott,Lighty,,"6' 2""",205 lbs.,--,,6,2,0
1887,Chris,Liguori,,"5' 9""",185 lbs.,--,Orthodox,15,10,0
1888,Donnie,Liles,,"5' 9""",170 lbs.,--,Orthodox,17,7,0
1889,Jae Suk,Lim,,"5' 9""",170 lbs.,--,Orthodox,17,6,0
1890,Hyun Gyu,Lim,The Ace,"6' 3""",170 lbs.,"77.0""",Orthodox,13,7,1
1891,Juliana,Lima,Ju Thai,"5' 5""",115 lbs.,"65.0""",Orthodox,9,5,0
1892,Dhiego,Lima,,"6' 2""",170 lbs.,"75.0""",Orthodox,17,9,0
1893,Douglas,Lima,The Phenom,"6' 1""",170 lbs.,--,,29,6,0
1894,Mabelly,Lima,,"5' 2""",135 lbs.,--,Orthodox,7,1,0
1895,Miguel,Linares,,--,--,--,,2,4,0
1896,Matt,Lindland,The Law,"6' 0""",185 lbs.,"74.0""",Southpaw,22,9,0
1897,Jake,Lindsey,The Librarian,"5' 11""",155 lbs.,--,Switch,12,7,0
1898,John,Lineker,Hands of Stone,"5' 3""",135 lbs.,"67.0""",Orthodox,31,9,0
1899,Austin,Lingo,Lights Out,"5' 10""",145 lbs.,"70.0""",Orthodox,9,1,0
1900,Lucio,Linhares,,"6' 2""",185 lbs.,--,Orthodox,19,8,0
1901,Philipe,Lins,Monstro,"6' 2""",240 lbs.,"78.0""",Orthodox,14,5,0
1902,Ariane,Lipski,Queen of Violence,"5' 6""",125 lbs.,"67.0""",Orthodox,14,7,0
1903,Dean,Lister,The Boogeyman,"6' 1""",185 lbs.,"75.0""",Orthodox,13,7,0
1904,Wesley,Little,,"6' 4""",205 lbs.,--,,4,8,0
1905,Abner,Lloveras,Skullman,"5' 11""",155 lbs.,--,,20,9,1
1906,Brian,Lo-A-Njoe,,"5' 7""",155 lbs.,--,Orthodox,6,10,3
1907,John,Lober,The Machine,"5' 11""",199 lbs.,--,Orthodox,5,9,4
1908,Artem,Lobov,The Russian Hammer,"5' 9""",145 lbs.,"65.0""",Southpaw,13,15,1
1909,Dylan,Lockard,,"5' 9""",145 lbs.,"72.0""",Orthodox,6,2,0
1910,Sean,Loeffler,The Destroyer,"6' 3""",185 lbs.,--,Orthodox,31,5,0
1911,Christian,Lohsen,Hollywood,"6' 2""",155 lbs.,"77.0""",Southpaw,4,2,0
1912,David,Loiseau,The Crow,"6' 0""",185 lbs.,"76.0""",Orthodox,23,11,0
1913,Hector,Lombard,,"5' 9""",185 lbs.,"71.0""",Southpaw,34,10,1
1914,Michael,Lombardo,The Don,"6' 0""",170 lbs.,"72.0""",Orthodox,11,2,0
1915,Rocky,Long,,--,145 lbs.,--,,21,37,1
1916,Thomas,Longacre,,"5' 9""",145 lbs.,--,Orthodox,6,1,0
1917,Loma,Lookboonmee,,"5' 1""",115 lbs.,"61.0""",Orthodox,6,3,0
1918,Ange,Loosa,The Last Ninja,"5' 10""",170 lbs.,"74.0""",Orthodox,7,2,0
1919,Lucas,Lopes,,"6' 2""",185 lbs.,--,,29,19,0
1920,Dileno,Lopes,,"5' 5""",135 lbs.,--,,19,3,0
1921,Diego,Lopes,,"5' 11""",145 lbs.,"72.0""",Orthodox,19,4,0
1922,Ivan,Lopez,,"5' 6""",135 lbs.,--,Southpaw,14,3,1
1923,Steve,Lopez,,"5' 11""",155 lbs.,--,Orthodox,13,6,1
1924,Federico,Lopez,Kiko,"5' 4""",139 lbs.,--,Orthodox,10,6,0
1925,Jorge,Lopez,,"5' 10""",170 lbs.,--,Orthodox,11,5,0
1926,Christopher,Lopez,,"5' 10""",170 lbs.,--,,9,1,0
1927,Matthew,Lopez,,"5' 7""",135 lbs.,"69.0""",Southpaw,10,4,0
1928,Benito,Lopez,Golden Boy,"5' 10""",135 lbs.,"73.0""",Switch,10,1,0
1929,Gustavo,Lopez,,"5' 5""",135 lbs.,"67.0""",Orthodox,12,6,1
1930,Brendan,Loughnane,,"5' 10""",145 lbs.,"70.0""",Switch,17,3,0
1931,Nate,Loughran,,"6' 2""",185 lbs.,--,Orthodox,11,2,0
1932,Rashard,Lovelace,,--,155 lbs.,--,,4,1,0
1933,Ian,Loveland,The Barn Owl,"5' 8""",145 lbs.,--,Orthodox,18,10,0
1934,Jakob,Lovstad,The Striking Viking,"6' 3""",205 lbs.,--,Orthodox,11,4,0
1935,Waylon,Lowe,,"5' 7""",145 lbs.,--,Southpaw,16,7,0
1936,Brandon,Lowe,,--,155 lbs.,--,,2,1,0
1937,Joe,Lowry,,"5' 11""",155 lbs.,"73.0""",Orthodox,9,2,0
1938,Robert,Lucarelli,,"6' 2""",245 lbs.,--,,0,1,0
1939,Matt,Lucas,Luke Duke,"6' 1""",205 lbs.,--,,15,3,0
1940,Cleber,Luciano,,"5' 6""",155 lbs.,--,,14,6,0
1941,Duane,Ludwig,Bang,"5' 10""",170 lbs.,"70.0""",Orthodox,21,14,0
1942,Mike,Lullo,,"5' 8""",145 lbs.,--,Orthodox,8,3,0
1943,Dalcha,Lungiambula,Champion,"5' 8""",185 lbs.,"76.0""",Orthodox,11,3,0
1944,Alexandru,Lungu,,"6' 0""",385 lbs.,--,Orthodox,14,4,0
1945,Vicente,Luque,The Silent Assassin,"5' 11""",170 lbs.,"75.0""",Orthodox,21,7,1
1946,Thaddeus,Luster,,"6' 3""",210 lbs.,--,,0,1,0
1947,Travis,Lutter,The Serial Killer,"5' 11""",185 lbs.,"75.0""",Orthodox,10,6,0
1948,Tucker,Lutz,Top Gun,"5' 8""",145 lbs.,"72.0""",Orthodox,12,2,0
1949,Lv,Zhenhong,,"5' 8""",145 lbs.,"67.0""",Switch,16,6,0
1950,Stevie,Lynch,,"5' 10""",170 lbs.,--,Orthodox,5,2,0
1951,Adam,Lynn,,"5' 10""",155 lbs.,--,Orthodox,17,10,0
1952,Chris,Lytle,Lights Out,"5' 11""",170 lbs.,"68.0""",Orthodox,31,18,5
1953,Dong Hyun,Ma,Maestro,"5' 11""",155 lbs.,"70.0""",Orthodox,16,11,3
1954,William,Macario,Patolino,"5' 11""",170 lbs.,"75.0""",Orthodox,9,3,0
1955,Jason,MacDonald,The Athlete,"6' 3""",185 lbs.,"80.0""",Orthodox,25,16,0
1956,Rob,MacDonald,Maximus,"6' 3""",205 lbs.,"78.0""",Orthodox,5,4,0
1957,Rory,MacDonald,Red King,"6' 0""",170 lbs.,"76.0""",Orthodox,19,4,0
1958,Ryan,MacDonald,Main Event,"5' 11""",135 lbs.,"71.0""",Switch,10,2,0
1959,Veronica,Macedo,,"5' 4""",125 lbs.,"64.0""",Southpaw,6,4,1
1960,Clayton,MacFarlane,,--,170 lbs.,--,,4,1,0
1961,Ilima,Macfarlane,,"5' 4""",125 lbs.,--,,6,0,0
1962,Valesca,Machado,Tina Black,"5' 4""",115 lbs.,"63.0""",Orthodox,8,3,0
1963,Lyoto,Machida,The Dragon,"6' 1""",185 lbs.,"74.0""",Southpaw,24,8,0
1964,War,Machine,,"5' 11""",170 lbs.,--,Orthodox,14,5,0
1965,Anthony,Macias,Mad Dog,"5' 9""",185 lbs.,--,Switch,26,18,0
1966,Pauline,Macias,PITA,"5' 4""",115 lbs.,"64.0""",Southpaw,4,1,0
1967,Reza,Madadi,Mad Dog,"5' 11""",155 lbs.,"73.0""",Orthodox,14,6,0
1968,Don,Madge,Magic Man,"6' 0""",155 lbs.,"72.0""",Southpaw,9,3,1
1969,Ryan,Madigan,,"6' 0""",170 lbs.,--,Orthodox,5,3,0
1970,Jon,Madsen,,"6' 0""",240 lbs.,"72.0""",Orthodox,8,2,0
1971,Mark,Madsen,The Olympian,"5' 8""",155 lbs.,"72.0""",Orthodox,11,0,0
1972,Yoshiro,Maeda,,"5' 7""",139 lbs.,"68.0""",Southpaw,35,16,5
1973,Leonardo,Mafra,Macarrao,"5' 10""",155 lbs.,"70.0""",Orthodox,13,4,0
1974,Vinny,Magalhaes,Pezao,"6' 3""",205 lbs.,"75.0""",Orthodox,14,9,0
1975,Vinicius,Magalhaes,Draculinho,--,145 lbs.,--,,2,1,0
1976,Caio,Magalhaes,Hellboy,"6' 1""",185 lbs.,"73.0""",Orthodox,10,3,0
1977,Bernardo,Magalhaes,Trekko,"5' 9""",155 lbs.,--,Orthodox,13,4,0
1978,Eric,Magana,,--,--,--,,1,1,0
1979,Brandon,Magana,,--,170 lbs.,--,Orthodox,6,2,0
1980,Angela,Magana,Your Majesty,"5' 1""",115 lbs.,"65.0""",Orthodox,11,9,0
1981,Neil,Magny,The Haitian Sensation,"6' 3""",170 lbs.,"80.0""",Orthodox,25,9,0
1982,Ibragim,Magomedov,,"6' 0""",250 lbs.,--,Orthodox,22,8,1
1983,Rashid,Magomedov,Highlander,"5' 9""",155 lbs.,"70.0""",Orthodox,20,2,0
1984,Ruslan,Magomedov,Leopard,"6' 3""",242 lbs.,"78.0""",Orthodox,14,1,0
1985,Abus,Magomedov,,"6' 2""",185 lbs.,--,,24,4,1
1986,Zabit,Magomedsharipov,,"6' 1""",145 lbs.,"73.0""",Orthodox,18,1,0
1987,John,Maguire,The One,"5' 9""",155 lbs.,"69.0""",Southpaw,24,9,0
1988,Lolohea,Mahe,,--,--,--,,10,4,1
1989,Michelle,Maher,,--,145 lbs.,--,,1,2,0
1990,,Maheshate,,"6' 0""",155 lbs.,"71.0""",Orthodox,6,1,0
1991,Bill,Mahood,The Butcher,"6' 3""",200 lbs.,--,Orthodox,20,7,1
1992,Klayton,Mai,,"5' 9""",125 lbs.,--,,8,3,0
1993,Demian,Maia,,"6' 1""",170 lbs.,"72.0""",Southpaw,28,11,0
1994,Jennifer,Maia,,"5' 4""",125 lbs.,"64.0""",Orthodox,19,8,1
1995,Levan,Makashvili,The Hornet,"5' 8""",145 lbs.,"68.0""",Orthodox,15,2,1
1996,John,Makdessi,The Bull,"5' 8""",155 lbs.,"68.0""",Orthodox,18,7,0
1997,Islam,Makhachev,,"5' 10""",155 lbs.,"70.0""",Southpaw,21,1,0
1998,Aliev,Makhmud,,"5' 6""",195 lbs.,--,Southpaw,0,1,0
1999,Zach,Makovsky,Fun Size,"5' 4""",125 lbs.,"64.0""",Southpaw,20,8,0
2000,Jeremy,Malaterre,,"5' 11""",155 lbs.,--,,4,2,0
2001,Fabio,Maldonado,Caipira de Aco,"6' 1""",205 lbs.,"75.0""",Orthodox,23,11,0
2002,Marvin,Maldonado,The Bulldog,"5' 6""",135 lbs.,--,,2,4,0
2003,Bea,Malecki,,"5' 9""",135 lbs.,"74.0""",Orthodox,4,1,0
2004,Nazareno,Malegarie,El Tigre,"5' 8""",155 lbs.,--,,28,4,0
2005,Carl,Malenko,,"5' 11""",200 lbs.,--,Orthodox,6,4,0
2006,Jacob,Malkoun,Mamba,"5' 9""",185 lbs.,"73.0""",Orthodox,5,1,0
2007,Mike,Malott,Proper,"6' 1""",170 lbs.,"73.0""",Orthodox,7,1,1
2008,Troy,Mandaloniz,Rude Boy,"5' 9""",170 lbs.,--,Orthodox,3,2,0
2009,Nate,Maness,Mayhem,"5' 10""",135 lbs.,"72.0""",Orthodox,14,1,0
2010,Michael,Mangan,,--,155 lbs.,--,,0,3,0
2011,Gary,Mangat,,"5' 7""",135 lbs.,--,,15,3,0
2012,Melvin,Manhoef,No Mercy,"5' 9""",185 lbs.,--,Orthodox,30,14,1
2013,Melchor,Manibusan,Barracuda,"5' 5""",154 lbs.,--,Southpaw,2,4,0
2014,Jon,Manley,,"6' 1""",170 lbs.,--,Orthodox,9,4,0
2015,Steve,Mann,,"6' 1""",170 lbs.,--,,12,5,0
2016,Chris,Manuel,,"5' 9""",135 lbs.,--,Orthodox,9,7,2
2017,Jimi,Manuwa,Poster Boy,"6' 1""",205 lbs.,"79.0""",Orthodox,17,6,0
2018,Cristiano,Marcello,,"5' 9""",155 lbs.,"72.0""",Orthodox,13,6,0
2019,Jose,Maria,No Chance,"5' 5""",125 lbs.,--,Orthodox,37,7,0
2020,Marcos,Mariano,Dhalsim,"6' 1""",155 lbs.,"76.0""",Switch,6,6,0
2021,Enrique,Marin,Wasabi,"5' 10""",170 lbs.,--,,10,4,0
2022,Ronny,Markes,,"6' 1""",185 lbs.,"75.0""",Orthodox,17,5,0
2023,Rory,Markham,,"6' 0""",170 lbs.,"71.0""",Orthodox,17,6,0
2024,Randa,Markos,Quiet Storm,"5' 4""",115 lbs.,"63.0""",Orthodox,11,12,1
2025,Christina,Marks,,"5' 7""",125 lbs.,"69.0""",Orthodox,8,9,0
2026,Nate,Marquardt,The Great,"6' 0""",185 lbs.,"74.0""",Orthodox,35,19,2
2027,Danilo,Marques,,"6' 6""",205 lbs.,"77.0""",Orthodox,11,3,0
2028,Julian,Marquez,The Cuban Missile Crisis,"6' 2""",185 lbs.,"72.0""",Orthodox,9,2,0
2029,Carmelo,Marrero,The Fury,"6' 0""",205 lbs.,"73.0""",Orthodox,16,6,0
2030,Cesar,Marscucci,,--,--,--,,3,2,0
2031,John,Marsh,,"6' 0""",265 lbs.,--,Orthodox,8,7,0
2032,CJ,Marsh,,--,--,--,,5,7,0
2033,Eliot,Marshall,Fire,"6' 2""",205 lbs.,"77.0""",Orthodox,10,4,0
2034,Doug,Marshall,The Rhino,"5' 10""",205 lbs.,--,Orthodox,18,8,0
2035,David,Marshall,,"6' 2""",170 lbs.,--,,8,4,0
2036,Jack,Marshman,The Hammer,"6' 0""",185 lbs.,"73.0""",Orthodox,23,10,0
2037,Terry,Martin,,"5' 8""",185 lbs.,"71.0""",Orthodox,23,11,0
2038,Eric,Martin,,--,--,--,,0,1,0
2039,Justin,Martin,,"6' 0""",185 lbs.,--,,4,3,0
2040,Dave,Martin,,"6' 0""",205 lbs.,--,,0,2,0
2041,Joe,Martin,,"5' 9""",170 lbs.,--,,6,8,0
2042,Anthony Rocco,Martin,,"6' 0""",170 lbs.,"73.0""",Orthodox,17,6,0
2043,Mallory,Martin,,"5' 4""",115 lbs.,"63.0""",Orthodox,7,5,0
2044,Michal,Martinek,,"6' 2""",230 lbs.,--,Southpaw,7,1,0
2045,Rainy,Martinez,,"6' 0""",199 lbs.,--,Orthodox,0,2,0
2046,Danny,Martinez,The Gremlin,"5' 6""",125 lbs.,"67.0""",Orthodox,21,8,0
2047,Alonzo,Martinez,Zo Diddy,"5' 10""",155 lbs.,--,,42,20,1
2048,Henry,Martinez,Sicario,"5' 7""",155 lbs.,"69.0""",Southpaw,9,4,0
2049,Jonathan,Martinez,Dragon,"5' 8""",135 lbs.,"70.0""",Southpaw,14,4,0
2050,Poppies,Martinez,The Tachi Kid,"5' 9""",145 lbs.,--,,29,11,0
2051,Andrew,Martinez,Mickey D,"5' 9""",215 lbs.,--,,9,6,0
2052,Mana,Martinez,ManaBoi,"5' 10""",135 lbs.,"70.0""",Orthodox,9,2,0
2053,Victor,Martinez,The Brick,"5' 8""",155 lbs.,"70.0""",Orthodox,13,4,0
2054,Roque,Martinez,,"5' 10""",250 lbs.,"72.0""",Orthodox,15,8,2
2055,Wagner da Conceicao,Martins,Zuluzinho,"6' 7""",390 lbs.,--,Orthodox,9,8,0
2056,Adriano,Martins,,"5' 10""",155 lbs.,"72.0""",Southpaw,28,9,0
2057,Lucas,Martins,Mineiro,"6' 0""",145 lbs.,"72.0""",Southpaw,19,3,0
2058,Max,Martyniouk,Payne,--,155 lbs.,--,,1,1,0
2059,Bristol,Marunde,,"6' 1""",170 lbs.,"75.0""",Orthodox,16,10,0
2060,Shoji,Maruyama,,"5' 7""",139 lbs.,--,Orthodox,12,9,1
2061,Mike,Massenzio,The Master of Disaster,"6' 2""",185 lbs.,"73.0""",Southpaw,13,9,0
2062,Jameel,Massouh,,"5' 10""",145 lbs.,"72.0""",Orthodox,26,9,0
2063,Tiffany,Masters,Rainbow Renegade,"5' 3""",115 lbs.,"65.0""",Orthodox,2,1,0
